Matchday,Date,Team 1,FT,HT,Team 2
1,Fri Aug 24 2012,Borussia Dortmund,2-1,1-0,Werder Bremen
1,Sat Aug 25 2012,FC Augsburg,0-2,0-0,Fortuna Düsseldorf
1,Sat Aug 25 2012,Eintracht Frankfurt,2-1,0-1,Bayer 04 Leverkusen
1,Sat Aug 25 2012,SC Freiburg,1-1,0-0,1. FSV Mainz 05
1,Sat Aug 25 2012,Greuther Fürth,0-3,0-1,Bayern München
1,Sat Aug 25 2012,Hamburger SV,0-1,0-0,1. FC Nürnberg
1,Sat Aug 25 2012,Bor. Mönchengladbach,2-1,1-0,TSG 1899 Hoffenheim
1,Sat Aug 25 2012,VfB Stuttgart,0-1,0-0,VfL Wolfsburg
1,Sun Aug 26 2012,Hannover 96,2-2,1-0,FC Schalke 04
2,Fri Aug 31 2012,1. FSV Mainz 05,0-1,0-0,Greuther Fürth
2,Sat Sep 1 2012,Fortuna Düsseldorf,0-0,0-0,Bor. Mönchengladbach
2,Sat Sep 1 2012,TSG 1899 Hoffenheim,0-4,0-2,Eintracht Frankfurt
2,Sat Sep 1 2012,Bayer 04 Leverkusen,2-0,1-0,SC Freiburg
2,Sat Sep 1 2012,1. FC Nürnberg,1-1,1-1,Borussia Dortmund
2,Sat Sep 1 2012,FC Schalke 04,3-1,1-0,FC Augsburg
2,Sat Sep 1 2012,Werder Bremen,2-0,0-0,Hamburger SV
2,Sun Sep 2 2012,Bayern München,6-1,3-1,VfB Stuttgart
2,Sun Sep 2 2012,VfL Wolfsburg,0-4,0-2,Hannover 96
3,Fri Sep 14 2012,FC Augsburg,0-0,0-0,VfL Wolfsburg
3,Sat Sep 15 2012,Bayern München,3-1,2-0,1. FSV Mainz 05
3,Sat Sep 15 2012,Borussia Dortmund,3-0,2-0,Bayer 04 Leverkusen
3,Sat Sep 15 2012,Greuther Fürth,0-2,0-0,FC Schalke 04
3,Sat Sep 15 2012,Hannover 96,3-2,2-1,Werder Bremen
3,Sat Sep 15 2012,Bor. Mönchengladbach,2-3,1-2,1. FC Nürnberg
3,Sat Sep 15 2012,VfB Stuttgart,0-0,0-0,Fortuna Düsseldorf
3,Sun Sep 16 2012,Eintracht Frankfurt,3-2,2-1,Hamburger SV
3,Sun Sep 16 2012,SC Freiburg,5-3,2-1,TSG 1899 Hoffenheim
4,Fri Sep 21 2012,1. FC Nürnberg,1-2,0-1,Eintracht Frankfurt
4,Sat Sep 22 2012,Fortuna Düsseldorf,0-0,0-0,SC Freiburg
4,Sat Sep 22 2012,Hamburger SV,3-2,1-0,Borussia Dortmund
4,Sat Sep 22 2012,1. FSV Mainz 05,2-0,2-0,FC Augsburg
4,Sat Sep 22 2012,FC Schalke 04,0-2,0-0,Bayern München
4,Sat Sep 22 2012,VfL Wolfsburg,1-1,1-1,Greuther Fürth
4,Sun Sep 23 2012,TSG 1899 Hoffenheim,3-1,1-1,Hannover 96
4,Sun Sep 23 2012,Bayer 04 Leverkusen,1-1,1-1,Bor. Mönchengladbach
4,Sun Sep 23 2012,Werder Bremen,2-2,2-0,VfB Stuttgart
