Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Sat Aug 18 2012,?,West Ham,1-0,?,Aston Villa
1,Sat Aug 18 2012,?,West Brom,3-0,?,Liverpool
1,Sat Aug 18 2012,?,Arsenal,0-0,?,Sunderland
1,Sat Aug 18 2012,?,Fulham,5-0,?,Norwich City
1,Sat Aug 18 2012,?,Newcastle Utd,2-1,?,Tottenham
1,Sat Aug 18 2012,?,Reading,1-1,?,Stoke City
1,Sat Aug 18 2012,?,QPR,0-5,?,Swansea City
1,Sun Aug 19 2012,?,Wigan Athletic,0-2,?,Chelsea
1,Sun Aug 19 2012,?,Manchester City,3-2,?,Southampton
1,Mon Aug 20 2012,?,Everton,1-0,?,Manchester Utd
3,Wed Aug 22 2012,?,Chelsea,4-2,?,Reading
2,Sat Aug 25 2012,?,Tottenham,1-1,?,West Brom
2,Sat Aug 25 2012,?,Swansea City,3-0,?,West Ham
2,Sat Aug 25 2012,?,Norwich City,1-1,?,QPR
2,Sat Aug 25 2012,?,Manchester Utd,3-2,?,Fulham
2,Sat Aug 25 2012,?,Chelsea,2-0,?,Newcastle Utd
2,Sat Aug 25 2012,?,Aston Villa,1-3,?,Everton
2,Sat Aug 25 2012,?,Southampton,0-2,?,Wigan Athletic
2,Sun Aug 26 2012,?,Liverpool,2-2,?,Manchester City
2,Sun Aug 26 2012,?,Stoke City,0-0,?,Arsenal
3,Sat Sep 1 2012,?,Swansea City,2-2,?,Sunderland
3,Sat Sep 1 2012,?,West Ham,3-0,?,Fulham
3,Sat Sep 1 2012,?,Tottenham,1-1,?,Norwich City
3,Sat Sep 1 2012,?,Manchester City,3-1,?,QPR
3,Sat Sep 1 2012,?,Wigan Athletic,2-2,?,Stoke City
3,Sat Sep 1 2012,?,West Brom,2-0,?,Everton
3,Sun Sep 2 2012,?,Liverpool,0-2,?,Arsenal
3,Sun Sep 2 2012,?,Newcastle Utd,1-1,?,Aston Villa
3,Sun Sep 2 2012,?,Southampton,2-3,?,Manchester Utd
4,Sat Sep 15 2012,?,Sunderland,1-1,?,Liverpool
4,Sat Sep 15 2012,?,Manchester Utd,4-0,?,Wigan Athletic
4,Sat Sep 15 2012,?,Norwich City,0-0,?,West Ham
4,Sat Sep 15 2012,?,Arsenal,6-1,?,Southampton
4,Sat Sep 15 2012,?,QPR,0-0,?,Chelsea
4,Sat Sep 15 2012,?,Stoke City,1-1,?,Manchester City
4,Sat Sep 15 2012,?,Aston Villa,2-0,?,Swansea City
4,Sat Sep 15 2012,?,Fulham,3-0,?,West Brom
4,Sun Sep 16 2012,?,Reading,1-3,?,Tottenham
4,Mon Sep 17 2012,?,Everton,2-2,?,Newcastle Utd
5,Sat Sep 22 2012,?,Chelsea,1-0,?,Stoke City
5,Sat Sep 22 2012,?,West Ham,1-1,?,Sunderland
5,Sat Sep 22 2012,?,Wigan Athletic,1-2,?,Fulham
5,Sat Sep 22 2012,?,Swansea City,0-3,?,Everton
5,Sat Sep 22 2012,?,West Brom,1-0,?,Reading
5,Sat Sep 22 2012,?,Southampton,4-1,?,Aston Villa
5,Sun Sep 23 2012,?,Liverpool,1-2,?,Manchester Utd
5,Sun Sep 23 2012,?,Newcastle Utd,1-0,?,Norwich City
5,Sun Sep 23 2012,?,Manchester City,1-1,?,Arsenal
5,Sun Sep 23 2012,?,Tottenham,2-1,?,QPR
6,Sat Sep 29 2012,?,Stoke City,2-0,?,Swansea City
6,Sat Sep 29 2012,?,Everton,3-1,?,Southampton
6,Sat Sep 29 2012,?,Norwich City,2-5,?,Liverpool
6,Sat Sep 29 2012,?,Sunderland,1-0,?,Wigan Athletic
6,Sat Sep 29 2012,?,Fulham,1-2,?,Manchester City
6,Sat Sep 29 2012,?,Arsenal,1-2,?,Chelsea
6,Sat Sep 29 2012,?,Manchester Utd,2-3,?,Tottenham
6,Sat Sep 29 2012,?,Reading,2-2,?,Newcastle Utd
6,Sun Sep 30 2012,?,Aston Villa,1-1,?,West Brom
6,Mon Oct 1 2012,?,QPR,1-2,?,West Ham
7,Sat Oct 6 2012,?,Chelsea,4-1,?,Norwich City
7,Sat Oct 6 2012,?,Manchester City,3-0,?,Sunderland
7,Sat Oct 6 2012,?,West Brom,3-2,?,QPR
7,Sat Oct 6 2012,?,Wigan Athletic,2-2,?,Everton
7,Sat Oct 6 2012,?,Swansea City,2-2,?,Reading
7,Sat Oct 6 2012,?,West Ham,1-3,?,Arsenal
7,Sun Oct 7 2012,?,Southampton,2-2,?,Fulham
7,Sun Oct 7 2012,?,Tottenham,2-0,?,Aston Villa
7,Sun Oct 7 2012,?,Liverpool,0-0,?,Stoke City
