Matchday,Date,Time,Team 1,FT,HT,Team 2
1,Fri Aug 7 2015,20:30,Lille,0-1,?,Paris S-G
1,Sat Aug 8 2015,21:00,Marseille,0-1,?,Caen
1,Sat Aug 8 2015,21:00,Troyes,0-0,?,Gazélec Ajaccio
1,Sat Aug 8 2015,21:00,Montpellier,0-2,?,Angers
1,Sat Aug 8 2015,21:00,Nice,1-2,?,Monaco
1,Sat Aug 8 2015,21:00,Bastia,2-1,?,Rennes
1,Sat Aug 8 2015,21:00,Nantes,1-0,?,Guingamp
1,Sun Aug 9 2015,17:00,Toulouse,2-1,?,Saint-Étienne
1,Sun Aug 9 2015,17:00,Bordeaux,1-2,?,Reims
1,Sun Aug 9 2015,21:00,Lyon,0-0,?,Lorient
2,Fri Aug 14 2015,20:30,Monaco,0-0,?,Lille
2,Sat Aug 15 2015,17:00,Saint-Étienne,1-1,?,Bordeaux
2,Sat Aug 15 2015,20:00,Troyes,3-3,?,Nice
2,Sat Aug 15 2015,20:00,Caen,1-0,?,Toulouse
2,Sat Aug 15 2015,20:00,Angers,0-0,?,Nantes
2,Sat Aug 15 2015,20:00,Guingamp,0-1,?,Lyon
2,Sat Aug 15 2015,20:00,Rennes,1-0,?,Montpellier
2,Sun Aug 16 2015,14:00,Reims,1-0,?,Marseille
2,Sun Aug 16 2015,17:00,Lorient,1-1,?,Bastia
2,Sun Aug 16 2015,21:00,Paris S-G,2-0,?,Gazélec Ajaccio
3,Fri Aug 21 2015,20:30,Montpellier,0-1,?,Paris S-G
3,Sat Aug 22 2015,17:00,Lyon,1-2,?,Rennes
3,Sat Aug 22 2015,20:00,Toulouse,1-1,?,Monaco
3,Sat Aug 22 2015,20:00,Nantes,1-0,?,Reims
3,Sat Aug 22 2015,20:00,Gazélec Ajaccio,0-2,?,Angers
3,Sat Aug 22 2015,20:00,Bastia,3-0,?,Guingamp
3,Sat Aug 22 2015,20:00,Nice,2-1,?,Caen
3,Sun Aug 23 2015,14:00,Lille,0-0,?,Bordeaux
3,Sun Aug 23 2015,17:00,Lorient,0-1,?,Saint-Étienne
3,Sun Aug 23 2015,21:00,Marseille,6-0,?,Troyes
4,Fri Aug 28 2015,20:30,Guingamp,2-0,?,Marseille
4,Sat Aug 29 2015,17:00,Caen,0-4,?,Lyon
4,Sat Aug 29 2015,20:00,Lille,1-0,?,Gazélec Ajaccio
4,Sat Aug 29 2015,20:00,Reims,4-1,?,Lorient
4,Sat Aug 29 2015,20:00,Rennes,3-1,?,Toulouse
4,Sat Aug 29 2015,20:00,Troyes,0-0,?,Montpellier
4,Sat Aug 29 2015,20:00,Angers,1-1,?,Nice
4,Sun Aug 30 2015,14:00,Saint-Étienne,2-1,?,Bastia
4,Sun Aug 30 2015,17:00,Bordeaux,2-0,?,Nantes
4,Sun Aug 30 2015,21:00,Monaco,0-3,?,Paris S-G
5,Fri Sep 11 2015,20:30,Paris S-G,2-2,?,Bordeaux
5,Sat Sep 12 2015,17:00,Lyon,0-0,?,Lille
5,Sat Sep 12 2015,20:00,Montpellier,1-2,?,Saint-Étienne
5,Sat Sep 12 2015,20:00,Lorient,3-1,?,Angers
5,Sat Sep 12 2015,20:00,Toulouse,2-2,?,Reims
5,Sat Sep 12 2015,20:00,Troyes,1-3,?,Caen
5,Sat Sep 12 2015,20:00,Nice,0-1,?,Guingamp
5,Sun Sep 13 2015,14:00,Gazélec Ajaccio,0-1,?,Monaco
5,Sun Sep 13 2015,17:00,Nantes,0-2,?,Rennes
5,Sun Sep 13 2015,21:00,Marseille,4-1,?,Bastia
6,Fri Sep 18 2015,20:30,Rennes,1-1,?,Lille
6,Sat Sep 19 2015,17:30,Reims,1-1,?,Paris S-G
6,Sat Sep 19 2015,20:00,Guingamp,2-1,?,Gazélec Ajaccio
6,Sat Sep 19 2015,20:00,Angers,1-0,?,Troyes
6,Sat Sep 19 2015,20:00,Bastia,1-3,?,Nice
6,Sat Sep 19 2015,20:00,Caen,2-1,?,Montpellier
6,Sun Sep 20 2015,14:00,Bordeaux,1-1,?,Toulouse
6,Sun Sep 20 2015,17:00,Monaco,2-3,?,Lorient
6,Sun Sep 20 2015,17:00,Saint-Étienne,2-0,?,Nantes
6,Sun Sep 20 2015,21:00,Marseille,1-1,?,Lyon
7,Tue Sep 22 2015,19:00,Angers,0-0,?,Reims
7,Tue Sep 22 2015,21:00,Paris S-G,3-0,?,Guingamp
7,Wed Sep 23 2015,19:00,Lyon,2-0,?,Bastia
7,Wed Sep 23 2015,19:00,Gazélec Ajaccio,1-1,?,Rennes
7,Wed Sep 23 2015,19:00,Nice,6-1,?,Bordeaux
7,Wed Sep 23 2015,19:00,Troyes,0-1,?,Saint-Étienne
7,Wed Sep 23 2015,19:00,Lorient,2-0,?,Caen
7,Wed Sep 23 2015,21:00,Toulouse,1-1,?,Marseille
7,Thu Sep 24 2015,18:55,Montpellier,2-3,?,Monaco
8,Fri Sep 25 2015,20:30,Reims,1-0,?,Lille
8,Sat Sep 26 2015,17:30,Nantes,1-4,?,Paris S-G
8,Sat Sep 26 2015,20:00,Rennes,1-1,?,Troyes
8,Sat Sep 26 2015,20:00,Bastia,3-0,?,Toulouse
8,Sat Sep 26 2015,20:00,Bordeaux,3-1,?,Lyon
8,Sat Sep 26 2015,20:00,Caen,2-0,?,Gazélec Ajaccio
8,Sun Sep 27 2015,14:00,Marseille,1-2,?,Angers
8,Sun Sep 27 2015,17:00,Guingamp,3-3,?,Monaco
8,Sun Sep 27 2015,17:00,Montpellier,2-1,?,Lorient
